,artist,style,museum_name,lat,lon,museum_location,museum_link
0,Georges Braque,cubism,Art Institute of Chicago,41.8796009,-87.62308280420407,,http://www.artcyclopedia.com/scripts/r.pl?R053+359
1,Georges Braque,cubism,Dallas Museum of Art,32.78783105,-96.80133687980364,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+207
2,Georges Braque,cubism,Fine Arts Museums of San Francisco,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RA87+381
3,Georges Braque,cubism,Guggenheim Museum,40.7829932,-73.95892501810057,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+364
4,Georges Braque,cubism,Louvre Museum Database,0.0,0.0,Paris,http://cartelen.louvre.fr/cartelen/visite?srv=rs_display_res&critere=Georges+Braque&operator=AND&photoOnly=true&nbToDisplay=20&langue=fr
5,Georges Braque,cubism,Metropolitan Museum of Art,40.7794396,-73.96338248033601,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Braque%2c+Georges%24Georges+Braque&pg=1
6,Georges Braque,cubism,Museum of Fine Arts,42.3394576,-71.09389640108918,"Houston, Texas",http://www.artcyclopedia.com/scripts/r.pl?R117+114
8,Georges Braque,cubism,Museum of Modern Art,40.761612400000004,-73.97749918210806,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1325
9,Georges Braque,cubism,National Galleries of Scotland,55.9508809,-3.195619300000002,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+51
10,Georges Braque,cubism,National Gallery of Art,38.89131155,-77.01990447478894,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1027.html?artobj_artistId=1027&pageNumber=1
11,Georges Braque,cubism,National Gallery of Canada,45.4295209,-75.69880918087051,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+350
12,Georges Braque,cubism,Norton Simon Museum,34.1463727,-118.15925901546419,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+49
13,Georges Braque,cubism,Peggy Guggenheim Collection,45.4307957,12.3316929,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+29
14,Georges Braque,cubism,Réunion des Musées Nationaux,48.8478623,2.3681659,France ,http://www.artcyclopedia.com/scripts/r.pl?RP02+25
15,Georges Braque,cubism,San Francisco Museum of Modern Art,37.78583605,-122.40092182492194,,http://www.artcyclopedia.com/scripts/r.pl?R498+76
16,Georges Braque,cubism,Tate Gallery,51.5078947,-0.0996448,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+1350
17,Georges Braque,cubism,Art Collection of the Biblioteca Luis Ángel Arango,0.0,0.0,Colombia,http://www.artcyclopedia.com/scripts/r.pl?RH21+10
18,Georges Braque,cubism,Art Gallery of New South Wales,-33.86882365,151.21727034707598,"Sydney, Australia",http://www.artcyclopedia.com/scripts/r.pl?R908+24
19,Georges Braque,cubism,Ashmolean Museum at the University of Oxford,0.0,0.0,UK,http://www.artcyclopedia.com/scripts/r.pl?RF15+57
20,Georges Braque,cubism,Ball State Museum of Art,0.0,0.0,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R737+21
21,Georges Braque,cubism,Blanton Museum of Art at the University of Texas,0.0,0.0,Austin,http://www.artcyclopedia.com/scripts/r.pl?RK37+25
22,Georges Braque,cubism,Bowdoin College Museum of Art,43.90821295000001,-69.96374631567622,Maine ,http://www.artcyclopedia.com/scripts/r.pl?RA02+67
23,Georges Braque,cubism,Brooklyn Museum,40.6709108,-73.96331573047141,New York City,http://www.artcyclopedia.com/scripts/r.pl?R132+196
24,Georges Braque,cubism,Caixa Galicia Foundation,0.0,0.0,"Vigo, Spain ",http://www.artcyclopedia.com/scripts/r.pl?RN61+19
25,Georges Braque,cubism,Cleveland Museum of Art,41.5090438,-81.61173672190631,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+413
26,Georges Braque,cubism,E.G. Bührle Collection,0.0,0.0,Zurich,http://www.artcyclopedia.com/scripts/r.pl?R157+35
27,Georges Braque,cubism,Haggerty Museum of Art at Marquette University,0.0,0.0,Wisconsin,http://www.artcyclopedia.com/scripts/r.pl?R109+21
