,artist,style,museum_name,lat,lon,museum_location,museum_link
0,Wassily Kandinsky,exprssionism,Art Institute of Chicago,41.8796009,-87.62308280420407,,http://www.artcyclopedia.com/scripts/r.pl?R053+1325
2,Wassily Kandinsky,exprssionism,Dallas Museum of Art,32.78783105,-96.80133687980364,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+588
3,Wassily Kandinsky,exprssionism,Fine Arts Museums of San Francisco,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RA87+1172
4,Wassily Kandinsky,exprssionism,Guggenheim Museum,40.7829932,-73.95892501810057,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+152
5,Wassily Kandinsky,exprssionism,Hermitage Museum,59.9412076,30.315486515853937,"Saint Petersburg, Russia",http://www.artcyclopedia.com/scripts/r.pl?R126+462
6,Wassily Kandinsky,exprssionism,Metropolitan Museum of Art ,40.7794396,-73.96338248033601,,http://www.metmuseum.org/toah/hi/hi_kandinskywassily.htm
7,Wassily Kandinsky,exprssionism,Museum of Fine Arts,42.3394576,-71.09389640108918,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO37+245
8,Wassily Kandinsky,exprssionism,Museum of Modern Art,40.761612400000004,-73.97749918210806,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+469
9,Wassily Kandinsky,exprssionism,National Gallery of Art,38.89131155,-77.01990447478894,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1431.html?artobj_artistId=1431&pageNumber=1
10,Wassily Kandinsky,exprssionism,Norton Simon Museum,34.1463727,-118.15925901546419,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+179
11,Wassily Kandinsky,exprssionism,Peggy Guggenheim Collection,45.4307957,12.3316929,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+184
12,Wassily Kandinsky,exprssionism,San Francisco Museum of Modern Art,37.78583605,-122.40092182492194,,http://www.artcyclopedia.com/scripts/r.pl?R498+232
13,Wassily Kandinsky,exprssionism,Tate Gallery,51.5078947,-0.0996448,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+191
14,Wassily Kandinsky,exprssionism,Yale University Art Gallery,41.3084354,-72.93087953034963,"New Haven, Connecticut",http://www.artcyclopedia.com/scripts/r.pl?RH51+86
15,Wassily Kandinsky,exprssionism,Aichi Prefectural Museum of Art,0.0,0.0,Japan,http://www.artcyclopedia.com/scripts/r.pl?R806+16
16,Wassily Kandinsky,exprssionism,Art Gallery of New South Wales,-33.86882365,151.21727034707598,"Sydney, Australia",http://www.artcyclopedia.com/scripts/r.pl?R908+135
17,Wassily Kandinsky,exprssionism,Ashmolean Museum at the University of Oxford,0.0,0.0,UK,http://www.artcyclopedia.com/scripts/r.pl?RF15+233
18,Wassily Kandinsky,exprssionism,Ball State Museum of Art,0.0,0.0,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R737+92
19,Wassily Kandinsky,exprssionism,Bauhaus-Archiv Museum of Design,0.0,0.0,Berlin,http://www.artcyclopedia.com/scripts/r.pl?RF14+10
20,Wassily Kandinsky,exprssionism,Beyeler Foundation Collection,0.0,0.0,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?RA13+9
21,Wassily Kandinsky,exprssionism,Blanton Museum of Art at the University of Texas,0.0,0.0,Austin,http://www.artcyclopedia.com/scripts/r.pl?RK37+46
22,Wassily Kandinsky,exprssionism,Block Museum of Art at Northwestern University,0.0,0.0,Illinois,http://www.artcyclopedia.com/scripts/r.pl?R301+48
23,Wassily Kandinsky,exprssionism,Brooklyn Museum,40.6709108,-73.96331573047141,New York City,http://www.artcyclopedia.com/scripts/r.pl?R132+250
24,Wassily Kandinsky,exprssionism,Caixa Galicia Foundation,0.0,0.0,"Vigo, Spain ",http://www.artcyclopedia.com/scripts/r.pl?RN61+28
25,Wassily Kandinsky,exprssionism,Carlos Museum at Emory University,0.0,0.0,Georgia,http://www.artcyclopedia.com/scripts/r.pl?R147+8
26,Wassily Kandinsky,exprssionism,Centre Pompidou,48.860591799999995,2.352474317665342,Paris,http://www.artcyclopedia.com/scripts/r.pl?RH02+4
29,Wassily Kandinsky,exprssionism,Cincinnati Art Museum,39.113974049999996,-84.49724429223966,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R005+93
30,Wassily Kandinsky,exprssionism,Cleveland Museum of Art,41.5090438,-81.61173672190631,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+1112
31,Wassily Kandinsky,exprssionism,Davison Art Center at Wesleyan University,0.0,0.0,Connecticut,http://www.artcyclopedia.com/scripts/r.pl?R195+13
32,Wassily Kandinsky,exprssionism,Didrichsen Art Museum,60.185272850000004,24.856246260986467,"Helsinki, Finland",http://www.artcyclopedia.com/scripts/r.pl?RA49+2
33,Wassily Kandinsky,exprssionism,Folkwang Museum,51.4425294,7.0047432,"Essen, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RA11+13
35,Wassily Kandinsky,exprssionism,Galleria Nazionale d'Arte Moderna e Contemporanea,41.91723585,12.482530882573537,Rome ,http://www.artcyclopedia.com/scripts/r.pl?RE87+25
36,Wassily Kandinsky,exprssionism,Gallerie di Palazzo Leoni Montanari,45.5502298,11.5468069,"Vicenza, Italy",http://www.artcyclopedia.com/scripts/r.pl?RP05+14
37,Wassily Kandinsky,exprssionism,Gemeentemuseum,53.1745805,5.4192419,The Hague,http://www.artcyclopedia.com/scripts/r.pl?R805+4
38,Wassily Kandinsky,exprssionism,Hammer Museum,34.0591533,-118.4436421,California,http://www.artcyclopedia.com/scripts/r.pl?RJ27+135
39,Wassily Kandinsky,exprssionism,Harvard University Art Museums,0.0,0.0,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL59+642
40,Wassily Kandinsky,exprssionism,Hirshhorn Museum and Sculpture Garden,0.0,0.0,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?RB77+844
41,Wassily Kandinsky,exprssionism,Hyde Collection Art Museum,0.0,0.0,"Glens Falls, New York",http://www.artcyclopedia.com/scripts/r.pl?R720+31
42,Wassily Kandinsky,exprssionism,Indianapolis Museum of Art,39.82596175,-86.18583890576329,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R122+723
43,Wassily Kandinsky,exprssionism,Johnson Museum of Art at Cornell University,0.0,0.0,"Ithaca, New York",http://www.artcyclopedia.com/scripts/r.pl?R052+56
44,Wassily Kandinsky,exprssionism,Kunsthaus Zurich,47.3702241,8.547979746081108,,http://www.artcyclopedia.com/scripts/r.pl?R559+35
45,Wassily Kandinsky,exprssionism,Kunstmuseum Basel,47.5545323,7.5943314,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?R302+120
46,Wassily Kandinsky,exprssionism,Kunstsammlung Nordrhein-Westfalen,51.228065900000004,6.77599755164214,"Dusseldorf, Germany",http://www.artcyclopedia.com/scripts/r.pl?R887+1
47,Wassily Kandinsky,exprssionism,Lenbach House,51.8474072,10.5551302,"Munich, Germany ",http://www.artcyclopedia.com/scripts/r.pl?R829+9
