,artist,style,museum_name,lat,lon,museum_location,museum_link
0,Claude Monet,imprssionism,Art Institute of Chicago,41.8796009,-87.62308280420407,,http://www.artcyclopedia.com/scripts/r.pl?R054+383
1,Claude Monet,imprssionism,Dallas Museum of Art,32.78783105,-96.80133687980364,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+104
2,Claude Monet,imprssionism,Claude Monet at the Detroit Institute of Arts,0.0,0.0,Michigan,http://www.artcyclopedia.com/scripts/r.pl?R223+407
3,Claude Monet,imprssionism,Fine Arts Museums of San Francisco,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RA87+192
4,Claude Monet,imprssionism,Fitzwilliam Museum at the University of Cambridge,0.0,0.0,UK,http://www.artcyclopedia.com/scripts/r.pl?RA12+365
5,Claude Monet,imprssionism,Fitzwilliam Museum PHAROS Website,0.0,0.0,"Cambridge, UK",http://www.artcyclopedia.com/scripts/r.pl?RB58+26
6,Claude Monet,imprssionism,Guggenheim Museum,40.7829932,-73.95892501810057,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+313
7,Claude Monet,imprssionism,Hermitage Museum,59.9412076,30.315486515853937,"Saint Petersburg, Russia",http://www.artcyclopedia.com/scripts/r.pl?R126+619
8,Claude Monet,imprssionism,J. Paul Getty Museum,34.0770168,-118.4740101,Los Angeles,http://www.artcyclopedia.com/scripts/r.pl?R011+197
9,Claude Monet,imprssionism,Louvre Museum Graphic Art Database,0.0,0.0,Paris ,http://arts-graphiques.louvre.fr/fo/visite?srv=mtr&quicksearchinput=MONET+CLAUDE&radiobutton=oeuvre
10,Claude Monet,imprssionism,Metropolitan Museum of Art,40.7794396,-73.96338248033601,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Monet%2c+Claude%24Claude+Monet&pg=1
11,Claude Monet,imprssionism,Musée d'Orsay,48.85991785,2.326582834696561,Paris,http://www.artcyclopedia.com/r/monet_claude.html
12,Claude Monet,imprssionism,Musée Marmottan Monet,48.85941225,2.2672551197388042,Paris,http://www.artcyclopedia.com/scripts/r.pl?R807+1
13,Claude Monet,imprssionism,Museum of Fine Arts,42.3394576,-71.09389640108918,"Houston, Texas",http://www.artcyclopedia.com/scripts/r.pl?R117+151
17,Claude Monet,imprssionism,Museum of Modern Art,40.761612400000004,-73.97749918210806,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1512
19,Claude Monet,imprssionism,National Galleries of Scotland,55.9508809,-3.195619300000002,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+429
20,Claude Monet,imprssionism,National Gallery,51.50888405,-0.1283741501862351,"London, UK",http://www.nationalgallery.org.uk/artists/claude-monet
21,Claude Monet,imprssionism,National Gallery of Art,38.89131155,-77.01990447478894,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1726.html?artobj_artistId=1726&pageNumber=1
22,Claude Monet,imprssionism,National Gallery of Australia,-35.30084815,149.1366997241953,Canberra,http://www.nga.gov.au/International/Catalogue/Default.cfm?MnuID=SRCH&GalID=ALL&ArtistIRN=13769&Alpha=M
24,Claude Monet,imprssionism,National Gallery of Canada,45.4295209,-75.69880918087051,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+192
