,artist,style,museum_name,lat,lon,museum_location,museum_link
0,Andy Warhol,pop,Andy Warhol Museum,40.4483774,-80.00250027949555,"Pittsburgh, Pennsylvania",http://www.artcyclopedia.com/scripts/r.pl?R029+0
1,Andy Warhol,pop,Art Institute of Chicago,41.8796009,-87.62308280420407,,http://www.artcyclopedia.com/scripts/r.pl?R054+1220
2,Andy Warhol,pop,Dallas Museum of Art,32.78783105,-96.80133687980364,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+45
3,Andy Warhol,pop,Fine Arts Museums of San Francisco,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RA87+78
4,Andy Warhol,pop,Guggenheim Bilbao,43.2686727,-2.9366365,Spain,http://www.artcyclopedia.com/scripts/r.pl?R611+2
5,Andy Warhol,pop,Guggenheim Museum,40.7829932,-73.95892501810057,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+226
6,Andy Warhol,pop,J. Paul Getty Museum,34.0770168,-118.4740101,Los Angeles,http://www.artcyclopedia.com/scripts/r.pl?R011+83
7,Andy Warhol,pop,Metropolitan Museum of Art,40.7794396,-73.96338248033601,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Warhol%2c+Andy%24Andy+Warhol&pg=1
8,Andy Warhol,pop,Museum of Fine Arts,42.3394576,-71.09389640108918,"Houston, Texas",http://www.artcyclopedia.com/scripts/r.pl?R117+53
10,Andy Warhol,pop,Museum of Modern Art,40.761612400000004,-73.97749918210806,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1190
12,Andy Warhol,pop,National Galleries of Scotland,55.9508809,-3.195619300000002,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+672
13,Andy Warhol,pop,National Gallery of Art,38.89131155,-77.01990447478894,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1966.html?artobj_artistId=1966&pageNumber=1
14,Andy Warhol,pop,National Gallery of Australia,-35.30084815,149.1366997241953,Canberra,http://www.nga.gov.au/International/Catalogue/Default.cfm?MnuID=SRCH&GalID=ALL&ArtistIRN=12079&Alpha=W
17,Andy Warhol,pop,National Gallery of Canada,45.4295209,-75.69880918087051,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+325
18,Andy Warhol,pop,Norton Simon Museum,34.1463727,-118.15925901546419,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+362
19,Andy Warhol,pop,Peggy Guggenheim Collection,45.4307957,12.3316929,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+129
20,Andy Warhol,pop,San Francisco Museum of Modern Art,37.78583605,-122.40092182492194,,http://www.artcyclopedia.com/scripts/r.pl?R498+360
21,Andy Warhol,pop,Andy Warhol at the Smithsonian American Art Museum,0.0,0.0,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?R209+898
22,Andy Warhol,pop,Tate Gallery,51.5078947,-0.0996448,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+552
23,Andy Warhol,pop,Whitney Museum of American Art,40.73964505,-74.00892095028976,New York City,http://www.artcyclopedia.com/scripts/r.pl?R082+13
24,Andy Warhol,pop,Yale University Art Gallery,41.3084354,-72.93087953034963,"New Haven, Connecticut",http://www.artcyclopedia.com/scripts/r.pl?RH51+69
25,Andy Warhol,pop,Ackland Art Museum at the University of North Carolina,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?R051+43
27,Andy Warhol,pop,Akron Art Museum,41.08423575,-81.5152543484598,Ohio,http://www.artcyclopedia.com/scripts/r.pl?RR76+182
28,Andy Warhol,pop,Albright-Knox Art Gallery,42.9321293,-78.87568390024248,"Buffalo, New York",http://www.artcyclopedia.com/scripts/r.pl?R649+78
29,Andy Warhol,pop,Allen Art Museum at Oberlin College,0.0,0.0,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R061+172
31,Andy Warhol,pop,Astrup Fearnley Museum of Modern Art,0.0,0.0,Norway,http://www.artcyclopedia.com/scripts/r.pl?R643+9
32,Andy Warhol,pop,Ball State Museum of Art,0.0,0.0,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R737+194
33,Andy Warhol,pop,Beyeler Foundation Collection,0.0,0.0,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?RA13+6
34,Andy Warhol,pop,Bibliotheque Nationale de France,48.8672823,2.3381642061332104,,http://www.artcyclopedia.com/scripts/r.pl?RF02+19
35,Andy Warhol,pop,Block Museum of Art at Northwestern University,0.0,0.0,Illinois,http://www.artcyclopedia.com/scripts/r.pl?R301+97
36,Andy Warhol,pop,Broad Art Foundation,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RB07+70
37,Andy Warhol,pop,Bruce Museum of Arts and Science,0.0,0.0,Connecticut,http://www.artcyclopedia.com/scripts/r.pl?RA93+22
39,Andy Warhol,pop,Canton Museum of Art,40.8073086,-81.37332626031497,Ohio,http://www.artcyclopedia.com/scripts/r.pl?RP31+260
40,Andy Warhol,pop,Chazen Museum of Art at the University of Wisconsin,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RB32+52
41,Andy Warhol,pop,Cheekwood Museum of Art,0.0,0.0,Tennessee,http://www.artcyclopedia.com/scripts/r.pl?R312+2
42,Andy Warhol,pop,Chrysler Museum,36.85636275,-76.29298032712623,"Norfolk, Virginia",http://www.artcyclopedia.com/scripts/r.pl?R004+11
43,Andy Warhol,pop,Clay Center for the Arts & Sciences,0.0,0.0,"Charleston, West Virginia",http://www.artcyclopedia.com/scripts/r.pl?RJ12+75
44,Andy Warhol,pop,Cleveland Museum of Art,41.5090438,-81.61173672190631,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R075+53
45,Andy Warhol,pop,Columbia Museum of Art,34.0059268,-81.03619717791278,South Carolina,http://www.artcyclopedia.com/scripts/r.pl?R645+96
46,Andy Warhol,pop,Corcoran Gallery of Art,38.9090004,-77.0480327,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?R341+112
49,Andy Warhol,pop,Currier Gallery of Art,0.0,0.0,New Hampshire,http://www.artcyclopedia.com/scripts/r.pl?R518+520
50,Andy Warhol,pop,DaimlerChrysler Collection,0.0,0.0,Berlin,http://www.artcyclopedia.com/scripts/r.pl?R966+4
51,Andy Warhol,pop,David Winton Bell Gallery at Brown University,0.0,0.0,"Providence, Rhode Island",http://www.artcyclopedia.com/scripts/r.pl?RI19+42
52,Andy Warhol,pop,Davis Museum and Cultural Center,42.2937406,-71.3073429,"Wellesley College, Massachusetts",http://www.artcyclopedia.com/scripts/r.pl?RP03+5
53,Andy Warhol,pop,Dayton Art Institute,39.7662409,-84.20118788794426,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R623+24
55,Andy Warhol,pop,Dia:Beacon,41.500331200000005,-73.9826346355102,"Beacon, New York",http://www.artcyclopedia.com/scripts/r.pl?RF08+4
56,Andy Warhol,pop,Falmouth Art Gallery,50.1558425,-5.0723561,England,http://www.artcyclopedia.com/scripts/r.pl?RL84+38
57,Andy Warhol,pop,Figge Art Museum,41.5205294,-90.57632347586602,"Davenport, Iowa",http://www.artcyclopedia.com/scripts/r.pl?R883+109
58,Andy Warhol,pop,Fleming Museum at the University of Vermont,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?R736+15
59,Andy Warhol,pop,Fonds Regional d'Art Contemporain (FRAC) Bourgogne,47.2358809,6.0339579,"Dijon, France",http://www.artcyclopedia.com/scripts/r.pl?RK82+33
60,Andy Warhol,pop,Fotomuseum Winterthur,47.49631935,8.73890974831636,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?RA79+1
61,Andy Warhol,pop,Fukuoka Art Museum,33.58393355,130.37961726980785,"Fukuoka, Japan",http://www.artcyclopedia.com/scripts/r.pl?RN14+1
62,Andy Warhol,pop,Fundació Suñol,41.3955552,2.1611924,Barcelona,http://www.artcyclopedia.com/scripts/r.pl?R133+9
63,Andy Warhol,pop,Fundación Proa,-34.63989685,-58.36210172560976,Buenos Aires ,http://www.artcyclopedia.com/scripts/r.pl?R572+27
64,Andy Warhol,pop,Greenville County Museum of Art,34.8564154,-82.4007106,South Carolina,http://www.artcyclopedia.com/scripts/r.pl?R743+19
65,Andy Warhol,pop,Groninger Museum,53.2122819,6.566029044267069,"Groningen, Netherlands",http://www.artcyclopedia.com/scripts/r.pl?R838+18
66,Andy Warhol,pop,Haggerty Museum of Art at Marquette University,0.0,0.0,Wisconsin,http://www.artcyclopedia.com/scripts/r.pl?R109+6
67,Andy Warhol,pop,Harvard University Art Museums,0.0,0.0,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL59+1296
68,Andy Warhol,pop,High Museum of Art,33.78945245,-84.38623130831695,"Atlanta, Georgia",http://www.artcyclopedia.com/scripts/r.pl?R335+41
69,Andy Warhol,pop,Hirshhorn Museum and Sculpture Garden,0.0,0.0,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?RB77+82
70,Andy Warhol,pop,Hood Museum of Art,43.7017729,-72.2873889406063,New Hampshire,http://www.artcyclopedia.com/scripts/r.pl?R404+20
71,Andy Warhol,pop,Hunter Museum of American Art,35.05583875,-85.30611245641542,Tennessee,http://www.artcyclopedia.com/scripts/r.pl?R715+17
72,Andy Warhol,pop,Huntsville Museum of Art,34.727135000000004,-86.58724458291378,"Huntsville, Alabama",http://www.artcyclopedia.com/scripts/r.pl?RD72+3
73,Andy Warhol,pop,Indiana State University Art Collection,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?R614+2
74,Andy Warhol,pop,Indianapolis Museum of Art,39.82596175,-86.18583890576329,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R122+1464
76,Andy Warhol,pop,Kawamura Memorial Museum of Art,0.0,0.0,Japan ,http://www.artcyclopedia.com/scripts/r.pl?RD45+4
